company_name,aliases,fortune_500,visa_friendly,sponsors_h1b,hires_entry_level,hires_software_engineers,hires_ai_ml,industry,careers_url,notes
Google,Google LLC|Alphabet,true,unknown,unknown,unknown,unknown,unknown,Technology,https://careers.google.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Microsoft,Microsoft Corporation,true,unknown,unknown,unknown,unknown,unknown,Technology,https://careers.microsoft.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Amazon,Amazon.com|Amazon Web Services|AWS,true,unknown,unknown,unknown,unknown,unknown,Technology,https://www.amazon.jobs,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Apple,Apple Inc.,true,unknown,unknown,unknown,unknown,unknown,Technology,https://jobs.apple.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
NVIDIA,NVIDIA Corporation,true,unknown,unknown,unknown,unknown,unknown,Technology,https://careers.nvidia.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Meta,Meta Platforms|Facebook,true,unknown,unknown,unknown,unknown,unknown,Technology,https://www.metacareers.com,Fortune status and eligibility fields require verification before use.
Salesforce,Salesforce Inc.,true,unknown,unknown,unknown,unknown,unknown,Technology,https://careers.salesforce.com,Fortune status and eligibility fields require verification before use.
IBM,International Business Machines|IBM Corporation,true,unknown,unknown,unknown,unknown,unknown,Technology,https://www.ibm.com/careers,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Accenture,Accenture plc,unknown,unknown,unknown,unknown,unknown,unknown,Professional services,https://www.accenture.com/us-en/careers,Fortune status and eligibility fields require verification before use.
Adobe,Adobe Inc.,true,unknown,unknown,unknown,unknown,unknown,Technology,https://careers.adobe.com,Fortune status and eligibility fields require verification before use.
CVS Health,CVS|CVS Health Corporation,true,unknown,unknown,unknown,unknown,unknown,Health care,https://jobs.cvshealth.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Humana,Humana Inc.,true,unknown,unknown,unknown,unknown,unknown,Health care,https://careers.humana.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Boeing,The Boeing Company|Boeing Co.,true,unknown,unknown,unknown,unknown,unknown,Aerospace and defense,https://jobs.boeing.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
American Express,American Express Company|AmEx,true,unknown,unknown,unknown,unknown,unknown,Financial services,https://www.americanexpress.com/en-us/careers/,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Caterpillar,Caterpillar Inc.|CAT,true,unknown,unknown,unknown,unknown,unknown,Industrial equipment,https://careers.caterpillar.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Oracle,Oracle Corporation,true,unknown,unknown,unknown,unknown,unknown,Technology,https://careers.oracle.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Cisco,Cisco Systems|Cisco Systems Inc.,true,unknown,unknown,unknown,unknown,unknown,Technology,https://jobs.cisco.com,Fortune 500 2026. Eligibility and hiring-policy fields require separate verification.
Dell Technologies,Dell|Dell Inc.,true,unknown,unknown,unknown,unknown,unknown,Technology,https://jobs.dell.com,Fortune listing is recorded from Fortune's company profile. Eligibility and hiring-policy fields require separate verification.
Walmart,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
UnitedHealth Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Berkshire Hathaway,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
McKesson,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Exxon Mobil,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Cencora,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
JPMorgan Chase,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Costco Wholesale,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Cigna Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Cardinal Health,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Elevance Health,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Centene,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Bank of America,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Chevron,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Ford Motor,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
General Motors,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Citigroup,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Home Depot,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Fannie Mae,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Kroger,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Verizon Communications,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Phillips 66,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Marathon Petroleum,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
StoneX Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
State Farm Insurance,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Freddie Mac,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
AT&T,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Goldman Sachs Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Comcast,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Wells Fargo,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Morgan Stanley,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Valero Energy,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Target,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Tesla,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Walt Disney,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Johnson & Johnson,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
PepsiCo,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
UPS,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
RTX,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
FedEx,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Progressive,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Lowe's,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Energy Transfer,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Procter & Gamble,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Sysco,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Albertsons,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Archer Daniels Midland,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
MetLife,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
HCA Healthcare,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Lockheed Martin,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
New York Life Insurance,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Capital One Financial,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Allstate,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Eli Lilly,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Merck,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Nationwide,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Broadcom,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Delta Air Lines,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Publix Super Markets,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Pfizer,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
TD Synnex,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
ConocoPhillips,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Galaxy Digital,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
AbbVie,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Prudential Financial,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
TJX,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Performance Food Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
United Airlines Holdings,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
HP,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Charter Communications,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
American Airlines Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Tyson Foods,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Intel,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Enterprise Products Partners,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Ingram Micro Holding,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
General Dynamics,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Uber Technologies,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
USAA,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
TIAA,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Liberty Mutual Insurance Group,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Travelers,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Bristol-Myers Squibb,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Coca-Cola,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Nike,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Massachusetts Mutual Life,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
GE Aerospace,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Deere,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Plains GP Holdings,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Molina Healthcare,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Netflix,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
Thermo Fisher Scientific,,true,,,,,,,,Fortune 500 2026 name imported from the public US500 table; other fields are unknown.
